UPPER-1 (Thân trên),,,,,,
,BP01,Barbell Bench Press,Ngực,Khó,5,5
,BL02,Barbell Row,Lưng - Xô,Khó,4,6
,SP01,Barbell Overhead Press,Vai,Khó,4,4
,SO01,Dumbbell Lateral Raise,Vai,Dễ,3,12
,BC02,Dumbbell Curl,Tay trước,Dễ,3,10
,TC06,Triceps Rope Pushdown,Tay sau,Dễ,3,12
UPPER-2 (Thân trên),,,,,,
,BL04,Dumbbell Row,Lưng - Xô,Khó,4,10
,BP08,Dumbbell Incline Bench Press,Ngực,Dễ,4,10
,SP03,Dumbbell Shoulder Press,Vai,Trung bình,4,10
,RD01,Dumbbell Rear Delt Fly,Vai,Khó,3,10
,BC04,Dumbbell Hammer Curl,Tay trước,Dễ,3,10
,TC06,Triceps Rope Pushdown,Tay sau,Dễ,3,12
UPPER-3 (Thân trên),,,,,,
,BL01,Barbell Conventional Deadlift,Lưng - Xô,Khó,5,5
,BP06,Dumbbell Chest Fly,Ngực,Khó,3,12
,SP05,Dumbbell Arnold Press,Vai,Dễ,4,10
,SO01,Dumbbell Lateral Raise,Vai,Dễ,3,15
,BC01,Barbell Curl,Tay trước,Trung bình,3,15
,TC03,Dumbbell Skull Crusher,Tay sau,Khó,3,15
UPPER-4 (Thân trên),,,,,,
,BP01,Barbell Bench Press,Ngực,Khó,5,5
,BP08,Dumbbell Incline Bench Press,Ngực,Dễ,3,10
,BL09,Lat Pulldown,Lưng - Xô,Dễ,4,10
,SP03,Dumbbell Shoulder Press,Vai,Trung bình,4,8
,BL07,Face Pull,Lưng - Xô,Dễ,3,10
,BC02,Dumbbell Curl,Tay trước,Dễ,3,10
,TC06,Triceps Rope Pushdown,Tay sau,Dễ,3,12
"LOWER-1 (Chân, Đùi, Mông)",,,,,,
,SQ01,Barbell Back Squat,Chân,Khó,5,5
,DL04,Barbell Sumo Deadlift,Chân,Khó,4,10
,LC01,Lying Leg Curl,Chân,Dễ,2,15
,DL02,Dumbbell Romania Deadlift,Chân,Trung bình,3,12
,HT01,Barbell Hip Thrust,Mông,Khó,4,10
"LOWER-2 (Chân, Đùi, Mông)",,,,,,
,DL04,Barbell Sumo Deadlift,Chân,Khó,4,10
,SQ01,Barbell Back Squat,Chân,Khó,4,12
