HIP-1,Mông,all,full_gym,
,RP01,Rope Pull Through,4,12
,LU03,Walking Lunge,4,12
,HT01,Barbell Hip Thrust,4,10
,DK01,Cable Donkey Kick,4,10
ABS-1,Bụng,all,full_gym,
,AB02,Crunch,3,15
,AB04,Russian Twist,3,20
,AB03,Leg Raise,3,15
ABS-2,Bụng,all,full_gym,
,AB03,Leg Raise,3,15
,AB05,Toe Touches,3,15
,AB06,Seated Knee Tucks,3,15
ABS-3,Bụng,all,full_gym,
,AB01,Alternate Heel Touchers,3,15
,AB02,Crunch,3,15
,AB03,Leg Raise,3,15
CARDIO-1,Thể lực,all,all,
,CD01,Cardio: Burpee,3,20
,CD02,Cardio: Battle Rope,10,30s
,CD03,Cardio: Jump Squat,3,20
CARDIO-2,Thể lực,all,all,
,CD04,Cardio: High Knee,10,30s
,CD05,Cardio: Split Jump Squat,3,20
,CD06,Cardio: Hop Over,10,30s
CARDIO-3,Thể lực,all,all,
,CD07,Cardio: Mountain Climbers,10,30s
,CD08,Cardio: Forward Hops,10,30s
CARDIO-4,Thể lực,all,all,
,CD09,Cardio: Running On Treadmill,1,10 phút
FULL-BODY-1,Toàn thân,all,all,
,SQ03,Goblet Squat,4,12
,HT04,Glute Bridge,4,10
,BP02,Dumbbell Bench Press,3,10
,BL04,Dumbbell Row,3,12
,FS01,Dumbbell Front Raise,2,12
,BC02,Dumbbell Curl,2,12
,TC05,Tricep Kickback,3,10
FULL-BODY-2,Toàn thân,all,all,
,SQ04,Dumbbell Front Squat,3,8
,LU02,Dumbbell Lunge,3,12
,BL02,Barbell Row,3,10
,BP08,Dumbbell Incline Bench Press,3,8
,SP05,Dumbbell Arnold Press,3,6
,BC04,Dumbbell Hammer Curl,3,10
,TC05,Tricep Kickback,3,10
FULL-BODY-3,Toàn thân,all,all,
,SQ01,Barbell Back Squat,5,5
,DL07,Conventional Block Pull,4,8
,BP06,Dumbbell Chest Fly,3,12
,SP01,Barbell Overhead Press,5,5
,BC06,Dumbbell Concentration Curl,3,15
,TC06,Triceps Rope Pushdown,3,15
,HT01,Barbell Hip Thrust,4,10
FULL-BODY-4,Toàn thân,all,all,
,DL04,Barbell Sumo Deadlift,4,6
,RP01,Rope Pull Through,4,12
,BL02,Barbell Row,4,10
,BP02,Dumbbell Bench Press,4,10
,SP03,Dumbbell Shoulder Press,3,15
,BL09,Lat Pulldown,3,15
,BC05,Dumbbell Preacher Curl,3,15
